order_id,customer_name,email,age,gender,country,order_date,product,category,price,quantity,total_amount,payment_method,order_status
ORD001,Chris Evans,chris.evans@email.com,39.0,Female,Spain,23-05-06,Headphones,Electronics,135,1,135,Credit Card,Shipped
ORD002,Jane Smith,jane.smith@email.com,53.0,Male,Germany,23-05-06,Tablet,Accessories,673,3,2019,Debit Card,Returned
ORD003,Chris Evans,chris.evans@email.com,39.0,Female,Uk,23-05-06,Phone,Electronics,888,2,1776,PayPal,Shipped
ORD004,Emily Davis,emily.davis@email.com,39.0,Male,China,23-05-06,Laptop,Electronics,1099,3,3297,Debit Card,Shipped
ORD005,Mike Brown,mike.brown@email.com,39.0,Male,China,23-05-06,Headphones,Accessories,1458,2,2916,Unknown,Delivered
ORD006,Jane Smith,jane.smith@email.com,39.0,Male,Spain,23-05-06,T-Shirt,Accessories,109,2,218,PayPal,Returned
ORD007,Anna Muller,anna.muller@email.com,39.0,Male,India,23-05-06,Watch,Electronics,821,1,821,Credit Card,Cancelled
ORD008,Jane Smith,jane.smith@email.com,39.0,Male,India,23-05-06,Camera,Electronics,1179,3,3537,Credit Card,Delivered
ORD009,Sarah Lee,sarah.lee@email.com,39.0,Male,Canada,23-05-06,Tablet,Electronics,297,2,594,Unknown,Cancelled
ORD010,Anna Muller,anna.muller@email.com,39.0,Female,Germany,23-05-06,T-Shirt,Fashion,954,1,954,Credit Card,Delivered
ORD011,Mike Brown,mike.brown@email.com,39.0,Male,Spain,23-05-06,Headphones,Fashion,417,2,834,PayPal,Delivered
ORD012,Maria Garcia,maria.garcia@email.com,39.0,Male,Germany,23-05-06,Bag,Fashion,1278,1,1278,PayPal,Shipped
ORD013,Emily Davis,emily.davis@email.com,39.0,Female,India,23-05-06,Headphones,Fashion,373,3,1119,Debit Card,Shipped
ORD014,Jane Smith,jane.smith@email.com,39.0,Male,Canada,23-05-06,Shoes,Fashion,648,3,1944,Debit Card,Shipped
ORD016,Sarah Lee,sarah.lee@email.com,39.0,Female,Usa,23-05-06,Bag,Fashion,1460,3,4380,Credit Card,Delivered
ORD017,Mike Brown,mike.brown@email.com,39.0,Male,Canada,23-05-06,Camera,Fashion,335,1,335,Unknown,Returned
ORD018,John Doe,john.doe@email.com,47.0,Female,Germany,23-05-06,Headphones,Fashion,1293,3,3879,PayPal,Shipped
ORD019,Sarah Lee,sarah.lee@email.com,46.0,Male,China,23-05-06,Camera,Electronics,1216,1,1216,PayPal,Cancelled
ORD020,Chris Evans,chris.evans@email.com,39.0,Male,Uk,23-05-06,Laptop,Fashion,930,3,2790,Unknown,Delivered
ORD021,Anna Muller,anna.muller@email.com,26.0,Male,Canada,23-05-06,Headphones,Fashion,870,3,2610,Debit Card,Cancelled
ORD022,Emily Davis,emily.davis@email.com,39.0,Male,Uk,23-05-06,Tablet,Fashion,243,1,243,PayPal,Shipped
ORD024,David Kim,david.kim@email.com,39.0,Male,Usa,23-05-06,Bag,Fashion,451,3,1353,PayPal,Returned
ORD025,David Kim,david.kim@email.com,39.0,Female,Canada,23-05-06,Shoes,Fashion,520,2,1040,Debit Card,Shipped
ORD026,Mike Brown,mike.brown@email.com,39.0,Male,India,23-05-06,Shoes,Accessories,264,1,264,Unknown,Returned
ORD027,Raj Kumar,raj.kumar@email.com,39.0,Male,India,23-05-06,Watch,Electronics,926,2,1852,Debit Card,Shipped
ORD028,Raj Kumar,raj.kumar@email.com,18.0,Male,Germany,23-05-06,Tablet,Electronics,435,1,435,PayPal,Returned
ORD029,David Kim,david.kim@email.com,39.0,Male,India,23-05-06,Camera,Fashion,1156,1,1156,PayPal,Returned
ORD030,Maria Garcia,maria.garcia@email.com,53.0,Male,Canada,23-05-06,Headphones,Electronics,934,2,1868,Credit Card,Cancelled
ORD031,John Doe,john.doe@email.com,60.0,Female,Uk,23-05-06,Camera,Electronics,554,1,554,UPI,Cancelled
ORD032,Raj Kumar,raj.kumar@email.com,24.0,Female,Usa,23-05-06,Phone,Electronics,222,1,222,PayPal,Cancelled
ORD033,Sarah Lee,sarah.lee@email.com,22.0,Female,Usa,23-05-06,Laptop,Accessories,321,1,321,UPI,Returned
ORD034,Maria Garcia,maria.garcia@email.com,51.0,Male,Uk,23-05-06,Headphones,Electronics,1279,1,1279,UPI,Shipped
ORD036,Sarah Lee,sarah.lee@email.com,39.0,Female,China,23-05-06,Camera,Accessories,666,1,666,UPI,Shipped
ORD037,Jane Smith,jane.smith@email.com,39.0,Male,India,23-05-06,Tablet,Fashion,1264,1,1264,Credit Card,Shipped
ORD039,Liu Wei,liu.wei@email.com,20.0,Female,India,23-05-06,Watch,Accessories,766,2,1532,UPI,Shipped
ORD041,Anna Muller,anna.muller@email.com,29.0,Male,India,23-05-06,Laptop,Electronics,467,1,467,Debit Card,Cancelled
ORD043,Liu Wei,liu.wei@email.com,39.0,Female,Spain,23-05-06,Tablet,Electronics,674,1,674,UPI,Shipped
ORD044,Anna Muller,anna.muller@email.com,39.0,Male,Spain,23-05-06,Phone,Electronics,1039,3,3117,Credit Card,Cancelled
ORD045,Maria Garcia,maria.garcia@email.com,48.0,Male,Usa,23-05-06,Bag,Fashion,186,1,186,Debit Card,Returned
ORD046,Chris Evans,chris.evans@email.com,34.0,Male,Uk,23-05-06,Tablet,Fashion,1111,2,2222,Unknown,Shipped
ORD048,Anna Muller,anna.muller@email.com,39.0,Female,Canada,23-05-06,Laptop,Electronics,1161,1,1161,Debit Card,Returned
ORD049,Jane Smith,jane.smith@email.com,18.0,Male,Spain,23-05-06,Laptop,Fashion,746,1,746,Credit Card,Delivered
ORD050,David Kim,david.kim@email.com,39.0,Male,Uk,23-05-06,Tablet,Accessories,703,2,1406,Debit Card,Cancelled
ORD051,Emily Davis,emily.davis@email.com,39.0,Male,Germany,23-05-06,Headphones,Fashion,806,1,806,Unknown,Returned
ORD052,John Doe,john.doe@email.com,19.0,Male,Germany,23-05-06,Phone,Accessories,113,3,339,PayPal,Shipped
ORD053,Raj Kumar,raj.kumar@email.com,39.0,Male,Canada,23-05-06,Watch,Electronics,208,3,624,Debit Card,Cancelled
ORD054,Sarah Lee,sarah.lee@email.com,39.0,Female,Uk,23-05-06,Phone,Electronics,823,1,823,UPI,Cancelled
ORD055,Chris Evans,chris.evans@email.com,33.0,Male,Uk,23-05-06,Tablet,Electronics,1160,2,2320,Unknown,Shipped
ORD056,Anna Muller,anna.muller@email.com,38.0,Male,China,23-05-06,Phone,Accessories,538,1,538,UPI,Delivered
ORD057,John Doe,john.doe@email.com,53.0,Male,Spain,23-05-06,T-Shirt,Electronics,292,3,876,PayPal,Delivered
ORD058,David Kim,david.kim@email.com,26.0,Female,India,23-05-06,Watch,Fashion,582,1,582,Unknown,Delivered
ORD059,Mike Brown,mike.brown@email.com,39.0,Female,Germany,23-05-06,Watch,Electronics,56,1,56,PayPal,Shipped
ORD060,Sarah Lee,sarah.lee@email.com,28.0,Female,China,23-05-06,T-Shirt,Accessories,33,3,99,UPI,Delivered
ORD062,Liu Wei,liu.wei@email.com,25.0,Male,Usa,23-05-06,Headphones,Accessories,1440,3,4320,UPI,Cancelled
ORD063,Raj Kumar,raj.kumar@email.com,39.0,Male,Spain,23-05-06,Tablet,Accessories,756,2,1512,Debit Card,Shipped
ORD064,Sarah Lee,sarah.lee@email.com,39.0,Male,Uk,23-05-06,Laptop,Accessories,1315,3,3945,PayPal,Delivered
ORD065,Sarah Lee,sarah.lee@email.com,39.0,Male,India,23-05-06,Shoes,Accessories,1184,2,2368,UPI,Delivered
ORD066,Jane Smith,jane.smith@email.com,21.0,Male,India,23-05-06,Tablet,Accessories,914,3,2742,Credit Card,Shipped
ORD067,Maria Garcia,maria.garcia@email.com,39.0,Male,India,23-05-06,Tablet,Accessories,86,3,258,UPI,Shipped
ORD068,John Doe,john.doe@email.com,39.0,Male,Germany,23-05-06,Headphones,Fashion,758,3,2274,UPI,Cancelled
ORD069,David Kim,david.kim@email.com,39.0,Male,China,23-05-06,Laptop,Accessories,743,1,743,Unknown,Returned
ORD070,Chris Evans,chris.evans@email.com,39.0,Female,Usa,23-05-06,Headphones,Accessories,1438,1,1438,Credit Card,Returned
ORD071,Mike Brown,mike.brown@email.com,35.0,Female,Spain,23-05-06,Camera,Electronics,1179,2,2358,Unknown,Delivered
ORD072,Jane Smith,jane.smith@email.com,39.0,Female,Uk,23-05-06,Bag,Fashion,169,1,169,PayPal,Delivered
ORD073,Chris Evans,chris.evans@email.com,39.0,Female,Germany,23-05-06,Headphones,Electronics,291,2,582,Credit Card,Returned
ORD074,Chris Evans,chris.evans@email.com,39.0,Male,Usa,23-05-06,Laptop,Accessories,793,2,1586,PayPal,Shipped
ORD076,Sarah Lee,sarah.lee@email.com,48.0,Male,Usa,23-05-06,Laptop,Electronics,1270,2,2540,PayPal,Shipped
ORD077,Mike Brown,mike.brown@email.com,48.0,Female,Germany,23-05-06,Headphones,Accessories,175,1,175,Credit Card,Cancelled
ORD078,Sarah Lee,sarah.lee@email.com,39.0,Male,Uk,23-05-06,Shoes,Fashion,208,2,416,PayPal,Delivered
ORD079,Sarah Lee,sarah.lee@email.com,39.0,Male,Canada,23-05-06,Tablet,Accessories,934,1,934,Debit Card,Returned
ORD080,Mike Brown,mike.brown@email.com,39.0,Male,Spain,23-05-06,T-Shirt,Fashion,1468,3,4404,PayPal,Returned
ORD081,Sarah Lee,sarah.lee@email.com,39.0,Female,Germany,23-05-06,Bag,Accessories,182,2,364,Credit Card,Shipped
ORD082,Chris Evans,chris.evans@email.com,24.0,Female,Spain,23-05-06,Headphones,Electronics,279,2,558,UPI,Shipped
ORD083,Jane Smith,jane.smith@email.com,39.0,Female,Canada,23-05-06,T-Shirt,Electronics,467,3,1401,Credit Card,Delivered
ORD084,Jane Smith,jane.smith@email.com,39.0,Female,Usa,23-05-06,Bag,Accessories,353,2,706,PayPal,Shipped
ORD085,Maria Garcia,maria.garcia@email.com,39.0,Female,China,23-05-06,Laptop,Accessories,1217,3,3651,Credit Card,Returned
ORD086,Anna Muller,anna.muller@email.com,39.0,Male,Canada,23-05-06,Bag,Electronics,353,3,1059,PayPal,Delivered
ORD087,Mike Brown,mike.brown@email.com,39.0,Female,Canada,23-05-06,Bag,Electronics,1217,3,3651,Unknown,Returned
ORD088,Maria Garcia,maria.garcia@email.com,44.0,Female,India,23-05-06,Camera,Accessories,1454,1,1454,Unknown,Delivered
ORD089,Emily Davis,emily.davis@email.com,39.0,Female,Spain,23-05-06,Phone,Accessories,609,1,609,Debit Card,Shipped
ORD090,Jane Smith,jane.smith@email.com,52.0,Male,Canada,23-05-06,Watch,Accessories,469,3,1407,Debit Card,Delivered
ORD091,Raj Kumar,raj.kumar@email.com,39.0,Male,India,23-05-06,Shoes,Accessories,868,1,868,UPI,Returned
ORD092,Liu Wei,liu.wei@email.com,39.0,Female,China,23-05-06,Headphones,Electronics,525,1,525,PayPal,Shipped
ORD093,Maria Garcia,maria.garcia@email.com,58.0,Female,Uk,23-05-06,Phone,Electronics,694,1,694,UPI,Returned
ORD094,Raj Kumar,raj.kumar@email.com,25.0,Female,Uk,23-05-06,Phone,Electronics,580,1,580,Debit Card,Cancelled
ORD095,Raj Kumar,raj.kumar@email.com,39.0,Female,Spain,23-05-06,Bag,Electronics,687,3,2061,Credit Card,Delivered
ORD096,Sarah Lee,sarah.lee@email.com,22.0,Male,India,23-05-06,Watch,Accessories,223,2,446,Debit Card,Cancelled
ORD097,Chris Evans,chris.evans@email.com,39.0,Male,Canada,23-05-06,Headphones,Fashion,736,1,736,PayPal,Returned
ORD099,Emily Davis,emily.davis@email.com,39.0,Male,China,23-05-06,Laptop,Accessories,126,1,126,PayPal,Shipped
ORD100,Jane Smith,jane.smith@email.com,39.0,Male,Usa,23-05-06,Tablet,Accessories,721,3,2163,Credit Card,Cancelled
ORD101,Emily Davis,emily.davis@email.com,39.0,Male,India,23-05-06,Camera,Electronics,576,3,1728,UPI,Shipped
ORD102,Sarah Lee,sarah.lee@email.com,39.0,Female,Germany,23-05-06,Headphones,Electronics,830,3,2490,UPI,Delivered
ORD103,Liu Wei,liu.wei@email.com,44.0,Female,Uk,23-05-06,Shoes,Electronics,773,1,773,Debit Card,Cancelled
ORD104,Mike Brown,mike.brown@email.com,39.0,Male,Canada,23-05-06,Shoes,Fashion,492,1,492,Unknown,Delivered
ORD105,Raj Kumar,raj.kumar@email.com,39.0,Female,Uk,23-05-06,Bag,Fashion,1015,2,2030,PayPal,Returned
ORD106,Liu Wei,liu.wei@email.com,39.0,Male,Uk,23-05-06,Shoes,Accessories,893,1,893,Debit Card,Cancelled
ORD107,Maria Garcia,maria.garcia@email.com,39.0,Female,Spain,23-05-06,Shoes,Electronics,1493,1,1493,PayPal,Delivered
ORD109,Sarah Lee,sarah.lee@email.com,39.0,Female,China,23-05-06,T-Shirt,Accessories,316,2,632,Credit Card,Returned
ORD110,Liu Wei,liu.wei@email.com,53.0,Male,Uk,23-05-06,Phone,Accessories,563,2,1126,UPI,Returned
ORD111,John Doe,john.doe@email.com,39.0,Female,Canada,23-05-06,Camera,Fashion,1105,3,3315,Debit Card,Shipped
ORD112,Raj Kumar,raj.kumar@email.com,39.0,Female,Spain,23-05-06,Camera,Electronics,300,2,600,PayPal,Delivered
