Order_ID,Customer Name,Email,Age,Gender,Country,Order_Date,Product,Category,Price,Quantity,Total_Amount,Payment_Method,Order_Status
ORD001,Chris Evans,chris.evans@email.com,,Female,Spain,05-06-2023,Headphones,Electronics,135,1,135,Credit Card,Shipped
ORD002,Jane Smith,jane.smith@email.com,53,Male,Germany,2023-07-12,Tablet,Accessories,673,3,2019,Debit Card,Returned
ORD003,Chris Evans,chris.evans@email.com,abc,Female,UK,2023-03-10,Phone,Electronics,888,2,1776,PayPal,Shipped
ORD004, Emily Davis ,emily.davis@email.com,,Male,China,2023-03-10,Laptop,Electronics,1099,3,3297,Debit Card,Shipped
ORD005,Mike Brown,mike.brown@email.com,,Male,China,05-06-2023,Headphones,Accessories,1458,2,2916,,Delivered
ORD006, Jane Smith ,jane.smith@email.com,,Male,Spain,2023-07-12,T-Shirt,Accessories,109,2,218,PayPal,Returned
ORD007,Anna Muller,anna.muller@email.com,,Male,India,2023-03-10,Watch,Electronics,821,1,821,Credit Card,Cancelled
ORD008,Jane Smith,jane.smith@email.com,abc,Male,India,2023/04/05,Camera,Electronics,1179,3,3537,Credit Card,Delivered
ORD009,Sarah Lee,sarah.lee@email.com,,Male,Canada,2023-07-12,Tablet,Electronics,297,2,594,,Cancelled
ORD010,Anna Muller,anna.muller@email.com,,Female,Germany,15-02-2023,T-Shirt,Fashion,954,1,954,Credit Card,Delivered
ORD011,Mike Brown,mike.brown@email.com,abc,Male,Spain,2023-03-10,Headphones,Fashion,417,2,834,PayPal,Delivered
ORD012,Maria Garcia,maria.garcia@email.com,,Male,Germany,15-02-2023,Bag,Fashion,1278,1,1278,PayPal,Shipped
ORD013,Emily Davis,emily.davis@email.com,,Female,India,15-02-2023,Headphones,Fashion,373,3,1119,Debit Card,Shipped
ORD014,Jane Smith,jane.smith@email.com,abc,Male,Canada,2023-03-10,Shoes,Fashion,648,3,1944,Debit Card,Shipped
ORD015,Chris Evans,chris.evansemail.com,abc,Female,Canada,05-06-2023,Watch,Accessories,776,2,1552,,Returned
ORD016,Sarah Lee,sarah.lee@email.com,abc,Female,USA,2023/01/15,Bag,Fashion,1460,3,4380,Credit Card,Delivered
ORD017,Mike Brown,mike.brown@email.com,,Male,Canada,2023/04/05,Camera,Fashion,335,1,335,,Returned
ORD018, John Doe ,john.doe@email.com,47,Female,Germany,2023/01/15,Headphones,Fashion,1293,3,3879,PayPal,Shipped
ORD019,Sarah Lee,sarah.lee@email.com,46,Male,China,2023/04/05,Camera,Electronics,1216,1,1216,PayPal,Cancelled
ORD020,Chris Evans,chris.evans@email.com,abc,Male,UK,2023/01/15,Laptop,Fashion,930,3,2790,,Delivered
ORD021,Anna Muller,anna.muller@email.com,26,Male,Canada,2023-03-10,Headphones,Fashion,870,3,2610,Debit Card,Cancelled
ORD022,Emily Davis,emily.davis@email.com,,Male,UK,15-02-2023,Tablet,Fashion,243,1,243,PayPal,Shipped
ORD023,Mike Brown,mike.brownemail.com,abc,Female,Germany,15-02-2023,Shoes,Accessories,782,1,782,UPI,Shipped
